Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Empty,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Architecture,Data Bus (ext),Address Bus,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Intel,186,A80186,,,,,,,,,CPU,80186,,80186,Intel,,,,1,16,16,20,,8MHz,8MHz,,4MiB/s,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,55k,1.5um,,,NMOS,,,,,,4.5-5.5V,5V,,5V,5V,,,3.03W,,0-70C,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,"Clock generator, two independent DMA channels, interrupt controller, three 16-bit timers, wait-state generator, local bus controller, programmable memory and peripheral chip-select logic",,,,,,1982,,"Desktop computers, embedded systems",,,,,,,,http://www.cpu-world.com/CPUs/80186/Intel-A80186.html,http://www.cpupages.com/store/index.php?id_item=1592,Intel “80186/80188 HIGH-INTEGRATION 16-BIT MICROPROCESSORS” datasheet,,,,,
Intel,186,A80186-10,,,,,,,,,CPU,80186,,80186,Intel,,,,1,16,16,20,,10MHz,10MHz,,5MiB/s,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,,,,,NMOS,,,,,,4.5-5.5V,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,10MHz,10MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,,,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186-12,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,12.5MHz,12.5MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,,,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186-16,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,16MHz,16MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,,,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186CPICE Sample,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,,,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186XL,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,10MHz,10MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,55k,1um,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186XL12,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,12.5MHz,12.5MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,55k,1um,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186XL16,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,16MHz,16MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,55k,1um,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
Intel,186,A80C186XL20,,,,,,,,,CPU,,,,Intel,,,,1,16,16,20,,20MHz,20MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,1GiB,,,,,CPGA-68,29.2 x 29.2 x 7 mm^3,,,55k,1um,,,CHMOS,,,,,,,5V,,5V,5V,,,,,,,,,,,,186,none,none,,X86-16,,,,,Ext 8087,,,,,,,,,,,,,,,,,,,,,,,,
