Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Sony,V30,CXQ70116D-5,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,NA,NA,5V,5V,0.05 Watt (Standby mode),0.15W,0.33W,,-40 - 85C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V30/Sony-CXQ70116D-5.html,,,,,,,
Sony,V30,CXQ70116P-5,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,NA,NA,5V,5V,0.05 Watt (Standby mode),0.15W,0.33W,,-40 - 85C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V30/Sony-CXQ70116P-5.html,,,,,,,
Sony,V30,CXQ70116D-8,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.75-5.25V,5V,,NA,NA,5V,5V,0.06 Watt (Standby mode),0.225W,0.42W,,-10 - 70C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V30/Sony-CXQ70116D-8.html,,,,,,,
Sony,V30,CXQ70116P-8,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.75-5.25V,5V,,NA,NA,5V,5V,0.06 Watt (Standby mode),0.225W,0.42W,,-10 - 70C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V30/Sony-CXQ70116P-8.html,,,,,,,
Sony,V20,CXQ70108D-5,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,NA,NA,5V,5V,0.05 Watt (Standby mode),0.15W,0.33W,,-40 - 85C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V20/Sony-CXQ70108D-5.html,,,,,,,
Sony,V20,CXQ70108P-5,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,NA,NA,5V,5V,0.05 Watt (Standby mode),0.15W,0.33W,,-40 - 85C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V20/Sony-CXQ70108P-5.html,,,,,,,
Sony,V20,CXQ70108D-8,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.75-5.25V,5V,,NA,NA,5V,5V,0.06 Watt (Standby mode),0.225W,0.42W,,-10 - 70C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V20/Sony-CXQ70108D-8.html,,,,,,,
Sony,V20,CXQ70108P-8,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.75-5.25V,5V,,NA,NA,5V,5V,0.06 Watt (Standby mode),0.225W,0.42W,,-10 - 70C,,standby mode,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/V20/Sony-CXQ70108P-8.html,,,,,,,
Sony,R3000,CXD8530CQ,CXD1869AQ,,,,,,,,,CPU,,,R3051,LSI,,,,1,,,,,,32,,,,,,33.8688MHz,,,,,,,,,,,,,,,,,,none,NA,NA,NA,NA,NA,2MiB,,,,,,,,,,,,,,,CMOS,,,,,,,,,NA,NA,,,,,,,,,,,,,,,R3000A,,,,MIPS,,,,,,,,,,,,1994,,Playstation I/Playstation II,,,,,,,,,http://www.happytrees.org/chips?page=chip&manufacturer=Sony&part=CXD8606BQ,,,,,,,
Sony,PlayStation 2,CXD9832GB,,,,,,,,,,CPU,,,R5900 based,Sony + Toshiba,,,,1,,,,,,64,128,32,,,,,149.5MHz,,,,,,,,,,,,,,,,,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-540,42.4 x 42.4 x 1.5 mm^3,,NA,10.5M,0.18um,4,,CMOS,,,,,,,1.8V,,NA,NA,,,,15W,,,,,,,,,,,,,,,MIPS,,,,,Integrated,"two FPU, vector processing unit",,,,,,,,Playstation II,,,,,,,,,http://www.cpupages.com/store/index.php?id_item=1409,,,,,,,
