,Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
,AMD,186,A80186,,,,,CPU
,AMD,186,A80186-10,,,,,CPU
,AMD,186,A80186B,,,,,CPU
,AMD,186,AM186EMLV-20KC,,,,,CPU
,AMD,186,C80186-1,,,,,CPU
,AMD,186,C80186-1B,,,,,CPU
,AMD,186,C80186-3,,,,,CPU
,AMD,186,C80186-3B,,,,,CPU
,AMD,186,C80186-6,,,,,CPU
,AMD,186,C80186-6B,,,,,CPU
,AMD,186,CG80186-3,,,,,CPU
,AMD,186,CG80186-3B,,,,,CPU
,AMD,186,CG80186-6,,,,,CPU
,AMD,186,CG80186-6B,,,,,CPU
,AMD,186,IA80186B,,,,,CPU
,AMD,186,IC80186-3,,,,,CPU
,AMD,186,IC80186-3B,,,,,CPU
,AMD,186,IC80186-6,,,,,CPU
,AMD,186,IC80186-6B,,,,,CPU
,AMD,186,IG80186-3,,,,,CPU
,AMD,186,IG80186-3B,,,,,CPU
,AMD,186,IG80186-6,,,,,CPU
,AMD,186,IG80186-6B,,,,,CPU
,AMD,186,IN80C186,,,,,CPU
,AMD,186,IN80C186-12,,,,,CPU
,AMD,186,IN80C186-16,,,,,CPU
,AMD,186,IN80C186-20,,,,,CPU
,AMD,186,IR80186B,,,,,CPU
,AMD,186,J80186-1,,,,,CPU
,AMD,186,J80186-1B,,,,,CPU
,AMD,186,J80186-3,,,,,CPU
,AMD,186,J80186-3B,,,,,CPU
,AMD,186,J80186-6,,,,,CPU
,AMD,186,J80186-6B,,,,,CPU
,AMD,186,MG80186-6,,,,,CPU
,AMD,186,MR80186-6,,,,,CPU
,AMD,186,N80186,,,,,CPU
,AMD,186,N80186-10,,,,,CPU
,AMD,186,N80C186,,,,,CPU
,AMD,186,N80C186-12,,,,,CPU
,AMD,186,N80C186-16,,,,,CPU
,AMD,186,N80C186-20,,,,,CPU
,AMD,186,N80C186-25,,,,,CPU
,AMD,186,R80186,,,,,CPU
,AMD,186,R80186-10,,,,,CPU
,AMD,186,R80186-3-B4,,,,,CPU
,AMD,186,R80186B,,,,,CPU
,AMD,186,S80C186,,,,,CPU
,AMD,186,S80C186-12,,,,,CPU
,AMD,186,S80C186-16,,,,,CPU
,AMD,186,S80C186-20,,,,,CPU
,AMD,186,S80C186-25,,,,,CPU
,AMD,186,SB80C186,,,,,CPU
,AMD,186,SB80C186-12,,,,,CPU
,AMD,186,SB80C186-16,,,,,CPU
,AMD,186,SB80C186-20,,,,,CPU
,AMD,186,SB80C186-25,,,,,CPU
,AMD,188,A80188,,,,,CPU
,AMD,188,A80188-10,,,,,CPU
,AMD,188,A80188B,,,,,CPU
,AMD,188,Am188ES-20KC,,,,,CPU
,AMD,188,IA80188B,,,,,CPU
,AMD,188,IN80C188,,,,,CPU
,AMD,188,IN80C188-12,,,,,CPU
,AMD,188,IN80C188-16,,,,,CPU
,AMD,188,IN80C188-20,,,,,CPU
,AMD,188,IR80188B,,,,,CPU
,AMD,188,MA80188B,,,,,CPU
,AMD,188,N80188,,,,,CPU
,AMD,188,N80188-10,,,,,CPU
,AMD,188,N80C188,,,,,CPU
,AMD,188,N80C188-12,,,,,CPU
,AMD,188,N80C188-16,,,,,CPU
,AMD,188,N80C188-20,,,,,CPU
,AMD,188,N80C188-25,,,,,CPU
,AMD,188,R80188,,,,,CPU
,AMD,188,R80188-10,,,,,CPU
,AMD,188,R80188B,,,,,CPU
,AMD,188,S80C188,,,,,CPU
,AMD,188,S80C188-12,,,,,CPU
,AMD,188,S80C188-16,,,,,CPU
,AMD,188,S80C188-20,,,,,CPU
,AMD,188,S80C188-25,,,,,CPU
,AMD,188,SB80C188,,,,,CPU
,AMD,188,SB80C188-12,,,,,CPU
,AMD,188,SB80C188-16,,,,,CPU
,AMD,188,SB80C188-20,,,,,CPU
,AMD,188,SB80C188-25,,,,,CPU
,AMD,286,A80286-10,,,,,CPU
,AMD,286,A80286-12/S,,,,,CPU
,AMD,286,A80286-8/C2H,,,,,CPU
,AMD,286,Am286ZX sample,,,,,CPU
,AMD,286,C80286-6/C2,,,,,CPU
,AMD,286,C80286-8/C2,,,,,CPU
,AMD,286,CG80286-8,,,,,CPU
,AMD,286,N80286-10/C2H,,,,,CPU
,AMD,286,N80286-8/C2H,,,,,CPU
,AMD,286,N80L286 sample,,,,,CPU
,AMD,286,N80L286-10/C2H,N80L286-10/S,,,,CPU
,AMD,286,N80L286-12/S,,,,,CPU
,AMD,286,N80L286-16/S,,,,,CPU
,AMD,286,N80L286-8/C2H,,,,,CPU
,AMD,286,NG286LX-12,,,,,CPU
,AMD,286,NG286LX-16,,,,,CPU
,AMD,286,NG286ZX-12,,,,,CPU
,AMD,286,NG286ZX-16,,,,,CPU
,AMD,286,R80286-10/C2H,R80286-10/S,,,,CPU
,AMD,286,R80286-12/C2H,R80286-12/S,,,,CPU
,AMD,286,R80286-16/S,,,,,CPU
,AMD,286,R80286-6/C2,,,,,CPU
,AMD,286,R80286-8/C2,R80286-8/S,,,,CPU
,AMD,386,A80386DX-33,,,,,CPU
,AMD,386,A80386DXL-20,,,,,CPU
,AMD,386,A80386DXL-25,,,,,CPU
,AMD,386,A80386DXL-33,,,,,CPU
,AMD,386,A80386DXL-40,,,,,CPU
,AMD,386,NG80386DX-40,,,,,CPU
,AMD,386,NG80386SX/SXL-33,,,,,CPU
,AMD,386,NG80386SXL-25,NG80386SX-25,,,,CPU
,AMD,486,A80486DX-40,,,,,CPU
,AMD,486,A80486DX2-50,,,,,CPU
,AMD,486,A80486DX2-66,,,,,CPU
,AMD,486,A80486DX2-66N,,,,,CPU
,AMD,486,A80486DX2-66NV8T,,,,,CPU
,AMD,486,A80486DX2-66SV8B,,,,,CPU
,AMD,486,A80486DX2-80,,,,,CPU
,AMD,486,A80486DX2-80NV8T,,,,,CPU
,AMD,486,A80486DX2-80SV8B,,,,,CPU
,AMD,486,A80486DX2-80V8T,,,,,CPU
,AMD,486,A80486DX4-100NV8T,,,,,CPU
,AMD,486,A80486DX4-100SV8B,,,,,CPU
,AMD,486,A80486DX4-100V8T,,,,,CPU
,AMD,486,A80486DX4-120NV8T,,,,,CPU
,AMD,486,A80486DX4-120SV8B,,,,,CPU
,AMD,486,A80486DX4-75SV8B,,,,,CPU
,AMD,486,A80486DX4-90NV8T,,,,,CPU
,AMD,486,A80486DXL2-66,,,,,CPU
,AMD,486,A80486DXL2-80/3V,,,,,CPU
,AMD,486,A80486DXLV-33,,,,,CPU
,AMD,486,A80486SX2-50N,,,,,CPU
,AMD,486,A80486SX2-66,,,,,CPU
,AMD,486,Am486DE2-66V8TGC,,,,,CPU
,AMD,486,Am486DE2-66V8THC,,,,,CPU
,AMD,486,Am486DX2-66V16BGC,,,,,CPU
,AMD,486,Am486DX2-66V16BGI,,,,,CPU
,AMD,486,Am486DX2-66V16BHC,,,,,CPU
,AMD,486,Am486DX2-66V16BHI,,,,,CPU
,AMD,486,Am486DX4-100V16BGC,,,,,CPU
,AMD,486,Am486DX4-100V16BGI,,,,,CPU
,AMD,486,Am486DX4-100V16BHC,,,,,CPU
,AMD,486,Am486DX4-100V16BHI,,,,,CPU
,AMD,486,Am486DX5-133V16BGC,,,,,CPU
,AMD,486,Am486DX5-133V16BHC,,,,,CPU
,AMD,486,Am486DX5-133W16BGC,,,,,CPU
,AMD,486,Am486DX5-133W16BHC,,,,,CPU
,AMD,486,Am5x86-P75,,,,,CPU
,AMD,486,AMD-X5-133ADW,Am5x86-P75,,,,CPU
,AMD,486,AMD-X5-133ADY,,,,,CPU
,AMD,486,AMD-X5-133ADZ,,,,,CPU
,AMD,486,S80486DX4-100SV8B,,,,,CPU
,AMD,486,S80486DX4-75SV8B,,,,,CPU
,AMD,2900,1820-2378,AM2910DC,,,,BSP
,AMD,2900,AM2901ADC,,,,,BSP
,AMD,2900,AM2901ADC-B,,,,,BSP
,AMD,2900,AM2901ADM,,,,,BSP
,AMD,2900,AM2901ADM-B,,,,,BSP
,AMD,2900,AM2901AFM,,,,,BSP
,AMD,2900,AM2901AFM-B,,,,,BSP
,AMD,2900,AM2901APC,,,,,BSP
,AMD,2900,AM2901APC-B,,,,,BSP
,AMD,2900,AM2901AXC,,,,,BSP
,AMD,2900,AM2901AXM,,,,,BSP
,AMD,2900,AM2901BDC,,,,,BSP
,AMD,2900,AM2901BDCB,,,,,BSP
,AMD,2900,AM2901BDM,,,,,BSP
,AMD,2900,AM2901BDMB,,,,,BSP
,AMD,2900,AM2901BFM,,,,,BSP
,AMD,2900,AM2901BFMB,,,,,BSP
,AMD,2900,AM2901BPC,,,,,BSP
,AMD,2900,AM2901BPC-B,,,,,BSP
,AMD,2900,AM2901BXC,,,,,BSP
,AMD,2900,AM2901BXM,,,,,BSP
,AMD,2900,AM2901C/BQA,,,,,BSP
,AMD,2900,AM2901CDC,,,,,BSP
,AMD,2900,AM2901CDCB,,,,,BSP
,AMD,2900,AM2901CDMB,,,,,BSP
,AMD,2900,AM2901CFMB,,,,,BSP
,AMD,2900,AM2901CLC,,,,,BSP
,AMD,2900,AM2901CLMB,,,,,BSP
,AMD,2900,AM2901CPC,,,,,BSP
,AMD,2900,AM2901CXC,,,,,BSP
,AMD,2900,AM2901CXM,,,,,BSP
,AMD,2900,AM2901DC,,,,,BSP
,AMD,2900,AM2901DC-B,,,,,BSP
,AMD,2900,AM2901PC,,,,,BSP
,AMD,2900,AM2903ADC,,,,,BSP
,AMD,2900,AM2903ADCB,,,,,BSP
,AMD,2900,AM2903ADMB,,,,,BSP
,AMD,2900,AM2903AFMB,,,,,BSP
,AMD,2900,AM2903ALC,,,,,BSP
,AMD,2900,AM2903ALMB,,,,,BSP
,AMD,2900,AM2903AXC,,,,,BSP
,AMD,2900,AM2903AXM,,,,,BSP
,AMD,2900,AM2903DC,,,,,BSP
,AMD,2900,AM2903DMB,,,,,BSP
,AMD,2900,AM2910ADC,,,,,BSP
,AMD,2900,AM2910ADCB,,,,,BSP
,AMD,2900,AM2910ADMB,,,,,BSP
,AMD,2900,AM2910AFMB,,,,,BSP
,AMD,2900,AM2910ALC,,,,,BSP
,AMD,2900,AM2910ALMB,,,,,BSP
,AMD,2900,AM2910APC,,,,,BSP
,AMD,2900,AM2910AXC,,,,,BSP
,AMD,2900,AM2910AXM,,,,,BSP
,AMD,2900,AM29203DC,,,,,BSP
,AMD,2900,AM29203DCB,,,,,BSP
,AMD,2900,AM29203DMB,,,,,BSP
,AMD,2900,AM29203FMB,,,,,BSP
,AMD,2900,AM29203LC,,,,,BSP
,AMD,2900,AM29203LMB,,,,,BSP
,AMD,2900,AM29203XC,,,,,BSP
,AMD,2900,AM29203XM,,,,,BSP
,AMD,2900,QM2901A-2D1,AM2901CDC,,,,BSP
,AMD,8080,1820-1701,,,,,CPU
,AMD,8080,AM9080A-1CC,D8080A-1,,,,CPU
,AMD,8080,AM9080A-1DC,,,,,CPU
,AMD,8080,AM9080A-1DCB,,,,,CPU
,AMD,8080,AM9080A-1DI,,,,,CPU
,AMD,8080,AM9080A-1PC,,,,,CPU
,AMD,8080,AM9080A-1PCB,,,,,CPU
,AMD,8080,AM9080A-2CC,,,,,CPU
,AMD,8080,AM9080A-2DC,,,,,CPU
,AMD,8080,AM9080A-2DCB,,,,,CPU
,AMD,8080,AM9080A-2DI,,,,,CPU
,AMD,8080,AM9080A-2DIB,,,,,CPU
,AMD,8080,AM9080A-2DM,,,,,CPU
,AMD,8080,AM9080A-2DMB,,,,,CPU
,AMD,8080,AM9080A-2PC,,,,,CPU
,AMD,8080,AM9080A-2PCB,,,,,CPU
,AMD,8080,AM9080A-4CC,,,,,CPU
,AMD,8080,AM9080A-4DC,,,,,CPU
,AMD,8080,AM9080ACC,,,,,CPU
,AMD,8080,AM9080ACCB,D8080AB,,,,CPU
,AMD,8080,AM9080ADC,,,,,CPU
,AMD,8080,AM9080ADCB,,,,,CPU
,AMD,8080,AM9080ADI,,,,,CPU
,AMD,8080,AM9080ADIB,,,,,CPU
,AMD,8080,AM9080ADM-B,,,,,CPU
,AMD,8080,AM9080APC,P8080A,,,,CPU
,AMD,8080,AM9080APCB,P8080AB,,,,CPU
,AMD,8080,C8080,,,,,CPU
,AMD,8080,C8080A,,,,,CPU
,AMD,8080,D8080A,,,,,CPU
,AMD,8080,D8080A-1,,,,,CPU
,AMD,8080,D8080A-1B,,,,,CPU
,AMD,8080,D8080A-2,,,,,CPU
,AMD,8080,D8080A-2B,,,,,CPU
,AMD,8080,D8080AB,,,,,CPU
,AMD,8080,ID8080A,,,,,CPU
,AMD,8080,ID8080A-1,,,,,CPU
,AMD,8080,ID8080A-1B,,,,,CPU
,AMD,8080,ID8080A-2,,,,,CPU
,AMD,8080,ID8080A-2B,,,,,CPU
,AMD,8080,ID8080AB,,,,,CPU
,AMD,8080,MD8080A-2B,,,,,CPU
,AMD,8080,MD8080AB,,,,,CPU
,AMD,8080,P8080A,,,,,CPU
,AMD,8080,P8080A-1,,,,,CPU
,AMD,8080,P8080A-1B,,,,,CPU
,AMD,8080,P8080A-2,,,,,CPU
,AMD,8080,P8080A-2B,,,,,CPU
,AMD,8080,P8080AB,,,,,CPU
,AMD,8085,AM8085A-2CC,C8085A-2,,,,CPU
,AMD,8085,AM8085A-2DC,C8085A-2,,,,CPU
,AMD,8085,AM8085A-2PC,P8085A-2,,,,CPU
,AMD,8085,AM8085ACC,,,,,CPU
,AMD,8085,AM8085ADC,,,,,CPU
,AMD,8085,AM8085APC,,,,,CPU
,AMD,8085,AM8085APCB,,,,,CPU
,AMD,8085,AM9085ADM,M8085A,,,,CPU
